,id,question,answer,facts,decomposition,cluster,index
1266,f1e48f5dc1662a84942b,Did Harvey Milk ever run for governor?,No,"['In 1977 Harvey Milk was elected to the San Francisco Board of Supervisors.', 'Less than a year later, he was assassinated before he could run for higher offices.']","[""What were Harvey Milk's political campaigns?"", 'Does #1 include a gubernatorial campaign?']",1,414
1917,90e6d4060a0b911fe436,Would it be unusual to use paypal for drug deals?,Yes,"['Paypal prohibits the use of their platform for drugs or drug paraphernalia. ', 'Using paypal leaves a digital footprint of any drug purchase.']","['Which kind of payments are prohibited on Paypal?', 'Does #1 include payment for drug deals?']",2,254
486,a6be49211a3ea2956f2e,"Can I ski in Steamboat Springs, Colorado in August?",No,"['Skiing requires snow. ', 'Snow melts at temperatures higher than 0 degrees Celsius. ', 'Average temperature for Steamboat Springs, Colorado in August is 27.3 degrees Celsius.']","['What is the average temperature in Steamboat Springs, CO in August?', 'What is the melting point of snow?', 'Is #1 lower than #2?']",3,1136
1822,cac8e6300a98cf6128af,Is number of different US President's in 1800s a lucky number in Hong Kong?,No,"[""There were 24 different US President's in the 1800s."", '4 is an unlucky number in Chinese numerology.', 'Where East Asian and Western cultures blend, such as in Hong Kong, it is possible in some buildings that the thirteenth floor along with all the floors with 4s to be omitted. ']","[""How many U.S. Presidents served during the 1800's?"", 'What number is unlucky in Chinese numerology?', 'Does #1 end with a number other than #2?']",4,527
937,a0d0c2ac289c7a59911d,Is overfeeding Lactobacillus unwise for people without dental insurance?,Yes,"['Lactobacillus species convert sugars they digest to lactic acid ', 'The lactic acid of some Lactobacillus species is associated with tooth decay', 'Dental procedures can be expensive without insurance']","['What are the products of Lactobacillus?', 'What conditions are caused by #1?', 'What medical procedures would be required to fix #2?', 'Would #3 be more affordable with dental insurance?']",0,659
528,8c550764a42b5810b430,Could a white cockatoo have lived through the entire Thirty Years' War?,Yes,"[""The Thirty Years' War lasted 30 years"", 'White cockatoos have been reported to live between 40-60 years in captivity']","[""How long did the Thirty Years' War last?"", 'How long can white cockatoos live?', 'Is #2 greater than or equal to #1?']",1,77
566,11714d45205c86d31910,Can the city of Miami fit inside Uppsala?,No,"['Miami measures 55.25 mi².', 'Uppsala has an area of 18.83 mi². ']","['What is the area of Miami?', 'What is the area of Uppsala?', 'Is #1 less than or equal to #2?']",2,1233
12,d697f6246a7d06e195ee,Are Christmas trees dissimilar to deciduous trees?,Yes,"['Christmas trees are usually pine trees.', 'Pine trees keep their needles all year round.']","['Which kind of trees are commonly used as Christmas trees?', 'Are #1 dissimilar to deciduous trees?']",3,271
1981,955a55c2c64209b0ab7d,Will Conan the Barbarian hypothetically last a short time inside of Call of Duty?,Yes,"['Conan the Barbarian is a comic book character.', 'Conan the Barbarian is equipped with a sword and does not typically wear armor.', 'Call of Duty is a modern warfare video game.', 'Soldiers in Call of Duty are equipped with weapons like sniper rifles, shotguns, and machine guns.']","['What equipment for fighting does Conan the Barbarian use?', 'What equipment for fighting does Call of Duty use?', 'Are the items listed in #2 deadlier than those in #1?']",4,552
1490,fe9207eff7fdc6606843,Do pediatricians perform abortions?,No,"['Pediatricians specialize in the treatment of children and adolescents. ', 'Training in abortions is not provided to pediatricians in their schooling.']","[""What is a Pediatrician's job duties?"", 'Is abortion in #1?']",0,1539
39,7f79c8faf724cc8f0e72,Could Robert Wadlow hypothetically see Frankenstein's monster's bald spot from above?,Yes,"[""The monster in Mary Shelley's novel, Frankenstein, was said to be 8 feet tall."", ""Robert Wadlow was the world's tallest man."", 'Robert Wadlow was 8 feet 11.1 inches tall.']","['How tall is Frankenstein?', 'How tall is Robert Wadlow?', 'Is #2 greater than #1?']",1,773
311,382571a1ab13a99b1f74,Is Steve Martin someone who would refuse a dish of shrimp pasta?,Yes,"['Steve Martin is allergic to shellfish.', 'Shrimp are one of the many types of shellfish.']","['What types of food is Steve Martin allergic to?', 'What type of food is shrimp?', 'Is #2 included in #1?']",2,1617
1947,7254b3ce052273ee1a0a,Can professional boxers expect to have low dental bills?,No,"['Professional boxers often receive punches to their face.', 'Even with a mouth guard, dental injuries occur often in boxing.', 'The average cost for one dental crown is between $500-$3000']","['What types of injuries are professional boxers likely to sustain?', 'Are #1 inexpensive to treat?']",3,338
1538,7459eacff621fe539afc,Was Los Angeles Memorial Sports Arena hypothetically inadequate for hosting Coachella?,Yes,"['The Los Angeles Memorial Sports Arena had a capacity of 16,740 people.', 'Coachella has had attendance numbers in excess of 99.000 people.', 'Coachella relies on an outdoor set up to accommodate the massive crowds.']","['How many people can the Los Angeles Memorial Sports Arena hold?', 'How many people usually attend Coachella?', 'Is #2 greater than #1?']",4,1232
249,65d216ee031d7c2a376f,Does chlorine inhibit photosynthesis?,Yes,"['Chlorine prevents algae from growing in pools', 'Algae photosynthesize ']","['What does Chlorine prevent from growing in a pool?', 'Does #1 do photosynthesis?']",0,670
1964,139d12df0ad15cc0347c,Did Sojourner Truth use the elevator at the Washington Monument?,No,"['The Washington Monument was opened to the public in October 1888.', 'Sojourner Truth died November 26, 1883. ']","['When did Sojourner Truth pass away?', 'When was the Washington Monument opened to the public?', 'Is #2 before #1?']",1,388
544,a54b16376f82a6e14bf9,Will a rock float in the atmosphere of Earth?,No,"['Things only float if they are less dense than the surrounding material.', 'Rocks are denser than air.', 'The atmosphere of Earth is made up of air.']","[""Which substance does the earth's atmosphere contain?"", 'What is the average density of #1?', 'What is the average density of rocks?', 'Is #3 less than #2?']",2,1628
1461,8e35a948ae9e0bf019f4,Is a curling iron necessary in curling?,No,"['A curling iron is a tool used to make the hair curly using heat.', 'The sport of curling requires curling brooms, stones (rocks), and curling shoes.', 'Changing the structure of your hair has no practical benefit to the sport of curling.']","['What equipment is used in the sport of curling?', 'Is a curling iron included in #1?']",3,1680
1740,a1db94948b252250102b,Are the events of Star Trek: The Next Generation in the history of the world?,No,"['The history of the world includes factual events.', 'Star Trek: TNG is a fictional television show. ']","['Which universe is Star Trek: The Next Generation set in?', 'Is #1 the same as the real world?']",4,1577
372,d47120efd0f09badd848,Is menthol associated with Christmas?,Yes,"['Menthol is the chemical in mint products that give mint its characteristic cool and tangy taste.', 'Peppermint is a popular candy flavor during Christmas season.']","['What is a popular candy flavor during Christmas?', 'Is menthol an ingredient in #1?']",0,1289
2026,4bb58d0456bfea654c0f,Did John Lennon listen to Compact discs?,No,"['The Compact disc was released in 1982 by Philips and Sony.', 'John Lennon was killed on December 8, 1980.']","['When were Compact Discs first available for use?', 'When did John Lennon die?', 'Is #1 before #2?']",1,1015
1277,535870a1d73b7288d0e1,Would someone in Boston not receive the Toronto Star?,Yes,"['The Toronto Star is only distributed in Canada.', 'Boston is located in the United States.']","['Where is the Toronto Star distributed?', 'Where is Boston located?', 'Is #2 not in #1?']",2,1281
1715,6b83137493422db701bb,Is grief always obvious when it is being experienced?,No,"['Grief has no set external representation. ', 'People who are grieving may laugh, cry, or even seem angry.']","['What are the ways a person may express their grief?', 'Based on #1, can one always tell when someone is grieving?']",3,1714
1674,56434ca634c4ef6e0741,Could  jockey win Triple Crown between Eid al-Fitr endpoints?,No,"['The Triple Crown is an accomplishment in which a jockey wins three specific races.', 'The three Triple Crown races are: Preakness, Kentucky Derby, and Belmont Stakes.', 'The three Triple Crown races take place weeks apart.', 'Eid al-Fitr is a Muslim holiday that lasts for three consecutive days.']","['How long does Eid al-Fitr last?', 'How long is it between the first and last races of the Triple Crown?', 'Is #1 longer than #2?']",4,1195
249,65d216ee031d7c2a376f,Does chlorine inhibit photosynthesis?,Yes,"['Chlorine prevents algae from growing in pools', 'Algae photosynthesize ']","['What does Chlorine prevent from growing in a pool?', 'Does #1 do photosynthesis?']",0,670
1266,f1e48f5dc1662a84942b,Did Harvey Milk ever run for governor?,No,"['In 1977 Harvey Milk was elected to the San Francisco Board of Supervisors.', 'Less than a year later, he was assassinated before he could run for higher offices.']","[""What were Harvey Milk's political campaigns?"", 'Does #1 include a gubernatorial campaign?']",1,414
1220,8eecf2ff459ef5a9b98a,Would an aerodynamic cactus benefit from more frequently closed stomata?,Yes,"['Cactus spines help the plant retain water by reducing air flow around the plant', 'Aerodynamic objects have smooth surfaces ', 'Crassulacean acid metabolism is used by cactuses ', ""Crassulacean acid metabolism is when a plant's stomata stay closed during daylight or times of drought to prevent water loss""]","['What helps cacti conserve water?', 'Of #1, what methods do not involve protrusions that might restrict air flow?', 'Are closed stoma one of #2?']",2,1307
2190,1ab9f6651469645c0573,Do mountain goats inhabit the summit of Mount Sharp?,No,"['Mountain goats are animals', 'Animals require oxygen in order to live', 'Mount Sharp is located on Mars', 'The atmosphere of Mars contains only trace amounts of oxygen']","['Where is Mount Sharp located?', 'Does #1 have enough atmospheric oxygen to support the life of animals, such as mountain goats?']",3,1319
613,7a1c9d5ad2a66bf90240,Is ABBA's 1970's genre still relevant today?,Yes,"[""ABBA was a 1970's music group that specialized in Disco music."", 'Pop artist Dua Lipa\'s 2020 album, Future Nostalgia, was described by Rolling Stone as , ""The Disco Liberation We Need.""', 'Magnetic Magazine released an article in 2020 entitled, ""The Best Disco and Funk Tracks of 2020.""']","[""What genre of music did music group ABBA specialize in in the 1970's?"", 'Are #1 still relevant today?']",4,630
165,a18c59e77cc176f748b2,Do some home remedies result in your skin color turning blue?,Yes,"['Colloidal silver is a popular alternative treatment/home remedy that is used by some people.', 'Ingestion of colloidal silver in high amounts can tint the skin blue.']","['What can cause skin color to change?', 'Of #1, what changes can be caused by ingestion of something?', 'Of #2, what causes skin color to become blue?', 'Is #3 used in home remedies?']",0,39
718,bb3737083669e10c889f,Would Roman Gallic Wars army struggle to build the pyramids faster?,No,"['The pyramids were built by an estimated 30,000 workers.', 'The Roman Gallic war army had around 75,000 soldiers.']","['How many people worked on the pyramids?', 'How many soldiers were in the Roman Gallic war army?', 'Is #1 greater than or equal to #2?']",1,1576
623,7ea958a52fc626ac5577,Would an Evander Holyfield 2020 boxing return set age record?,No,"['Evander Holyfield will turn 58 years old at the end of 2020.', ""Steve Ward holds the world's oldest boxer title at age 59.""]","['How old will Evander Holyfield be at the end of 2020?', 'What is the oldest age a boxer won a title bout?', 'Is #1 greater than #2?']",2,436
1907,d2af086597e0e03a4f57,Is latitude required to determine the coordinates of an area?,Yes,"['Longitude is one of the required data points needed for determining coordinates.', 'Latitude is the other angle required to determine coordinates of an area. ']","['What are the two sets of data points that determine coordinates of a location?', 'Is latitude one of the answers to #1?']",3,127
2103,df5d1bdd7a56f0090f60,Has Drew Carey outshined Doug Davidson's tenure?,Yes,"['Drew Carey has been the host of the Price is Right for over 13 years.', 'Doug Davidson hosted the Price is Right from 1994-1995.']","['How long has Drew Carey hosted the Price is Right?', 'How long did Doug Davidson host the Price is Right?', 'Is #1 longer than #2?']",4,601
