,question,choices,answer,unit,table_title,table,table_for_pd,row_num,column_num,solution,ques_type,ans_type,grade,split,cluster,index
31027,Look at the following schedule. When does the advanced ballet class begin?,"['5:30 P.M.', '10:40 A.M.', '1:50 P.M.', '2:40 P.M.']",1:50 P.M.,,Dance studio schedule,"Class | Begin | End
intermediate ballet | 9:10 A.M. | 10:35 A.M.
modern dance | 10:40 A.M. | 11:10 A.M.
beginning ballet | 11:20 A.M. | 11:50 A.M.
hip hop dance | 12:05 P.M. | 1:00 P.M.
salsa dance | 1:10 P.M. | 1:40 P.M.
advanced ballet | 1:50 P.M. | 2:25 P.M.
western dance | 2:40 P.M. | 3:40 P.M.
swing dance | 3:45 P.M. | 5:25 P.M.
tap dance | 5:30 P.M. | 6:00 P.M.
ballroom dance | 6:05 P.M. | 7:40 P.M.","{'Class': ['intermediate ballet', 'modern dance', 'beginning ballet', 'hip hop dance', 'salsa dance', 'advanced ballet', 'western dance', 'swing dance', 'tap dance', 'ballroom dance'], 'Begin': ['9:10 A.M.', '10:40 A.M.', '11:20 A.M.', '12:05 P.M.', '1:10 P.M.', '1:50 P.M.', '2:40 P.M.', '3:45 P.M.', '5:30 P.M.', '6:05 P.M.'], 'End': ['10:35 A.M.', '11:10 A.M.', '11:50 A.M.', '1:00 P.M.', '1:40 P.M.', '2:25 P.M.', '3:40 P.M.', '5:25 P.M.', '6:00 P.M.', '7:40 P.M.']}",11,3,"Find the advanced ballet class on the schedule. Find the beginning time for the advanced ballet class.

advanced ballet: 1:50 P. M.",multi_choice,extractive_text,3,train,4,2010
22454,An athlete counted how many autographs he signed each day. What is the median of the numbers?,,4,,Autographs signed,"Day | Number of autographs
Friday | 2
Saturday | 9
Sunday | 4
Monday | 4
Tuesday | 10
Wednesday | 4
Thursday | 2","{'Day': ['Friday', 'Saturday', 'Sunday', 'Monday', 'Tuesday', 'Wednesday', 'Thursday'], 'Number of autographs': ['2', '9', '4', '4', '10', '4', '2']}",8,2,"Read the numbers from the table.

2, 9, 4, 4, 10, 4, 2

First, arrange the numbers from least to greatest:

2, 2, 4, 4, 4, 9, 10

Now find the number in the middle.

2, 2, 4, 4, 4, 9, 10

The number in the middle is 4.

The median is 4.",free_text,integer_number,6,train,0,3407
22051,A philanthropic organization compared the amounts of money that its members donated to certain causes. How much more did Barbara donate to animal rights than to job training?,,2,$,Donations,"Person | Animal rights | Job training
Chandler | $20 | $19
Barbara | $18 | $16
Sophie | $17 | $12","{'Person': ['Chandler', 'Barbara', 'Sophie'], 'Animal rights': ['$20', '$18', '$17'], 'Job training': ['$19', '$16', '$12']}",4,3,"Find the Barbara row. Find the numbers in this row for animal rights and job training.

animal rights: $18.00
job training: $16.00

Now subtract:

$18.00 − $16.00 = $2.00

Barbara donated $2 more to animal rights than to job training.",free_text,integer_number,4,train,1,7790
31119,"How much money does Porter need to buy a silver bow, a big blue button, and a purple bow?",,0.15,$,,"big blue button | $0.04
silver bow | $0.07
red ribbon | $0.06
purple bow | $0.04
pair of googly eyes | $0.04","{'Column 1': ['big blue button', 'silver bow', 'red ribbon', 'purple bow', 'pair of googly eyes'], 'Column 2': ['$0.04', '$0.07', '$0.06', '$0.04', '$0.04']}",5,2,"Find the total cost of a silver bow, a big blue button, and a purple bow.

$0.07 + $0.04 + $0.04 = $0.15

Porter needs $0.15.",free_text,decimal_number,4,train,2,2889
16596,The table shows a function. Is the function linear or nonlinear?,"['linear', 'nonlinear']",linear,,,"x | y
18 | 20
19 | 10
20 | 0","{'x': ['18', '19', '20'], 'y': ['20', '10', '0']}",4,2,"To determine whether the function is linear or nonlinear, see whether it has a constant rate of change.
Pick the points in any two rows of the table and calculate the rate of change between them. The first two rows are a good place to start.
Call the values in the first row x1 and y1. Call the values in the second row x2 and y2.
Rate of change = \frac{y2 - y1}{x2 - x1}
 = \frac{10 - 20}{19 - 18}
 = \frac{-10}{1}
 = -10
Now pick any other two rows and calculate the rate of change between them.
Call the values in the first row x1 and y1. Call the values in the third row x2 and y2.
Rate of change = \frac{y2 - y1}{x2 - x1}
 = \frac{0 - 20}{20 - 18}
 = \frac{-20}{2}
 = -10
The two rates of change are the same.
10.
This means the rate of change is the same for each pair of points. So, the function has a constant rate of change.
The function is linear.",multi_choice,boolean_text,8,train,3,7190
22924,Look at the following schedule. When does Architecture class end?,"['3:15 P.M.', '8:40 A.M.', '8:10 A.M.', '9:40 A.M.']",8:40 A.M.,,Class schedule,"Subject | Begin | End
Architecture | 8:10 A.M. | 8:40 A.M.
Spanish Literature | 9:00 A.M. | 9:40 A.M.
Basketball | 10:15 A.M. | 11:30 A.M.
Chinese | 11:40 A.M. | 12:10 P.M.
Essay Writing | 12:50 P.M. | 2:10 P.M.
Ancient Greek | 2:15 P.M. | 3:15 P.M.","{'Subject': ['Architecture', 'Spanish Literature', 'Basketball', 'Chinese', 'Essay Writing', 'Ancient Greek'], 'Begin': ['8:10 A.M.', '9:00 A.M.', '10:15 A.M.', '11:40 A.M.', '12:50 P.M.', '2:15 P.M.'], 'End': ['8:40 A.M.', '9:40 A.M.', '11:30 A.M.', '12:10 P.M.', '2:10 P.M.', '3:15 P.M.']}",7,3,"Find Architecture class on the schedule. Find the end time for Architecture class.

Architecture: 8:40 A. M.",multi_choice,extractive_text,3,train,4,13068
23114,Each laundry hamper has 2 sweatshirts. How many sweatshirts are in 6 laundry hampers?,,12,sweatshirts,,"Number of laundry hampers | Number of sweatshirts
1 | 2
2 | 4
3 | 6
4 | 8
5 | 10
6 | ?","{'Number of laundry hampers': ['1', '2', '3', '4', '5', '6'], 'Number of sweatshirts': ['2', '4', '6', '8', '10', '?']}",7,2,Count by twos. Use the chart: there are 12 sweatshirts in 6 laundry hampers.,free_text,integer_number,1,train,0,14899
23308,A donut shop recorded how many donuts it sold in the past 5 days. How many donuts in total did the shop sell on Monday and Wednesday?,,"2,097",donuts,Donuts sold,"Day | Number of donuts
Sunday | 6,801
Monday | 1,072
Tuesday | 1,216
Wednesday | 1,025
Thursday | 1,561","{'Day': ['Sunday', 'Monday', 'Tuesday', 'Wednesday', 'Thursday'], 'Number of donuts': ['6,801', '1,072', '1,216', '1,025', '1,561']}",6,2,"Find the numbers in the table.

Monday: 1,072
Wednesday: 1,025

Now add: 1,072 + 1,025 = 2,097.

The shop sold 2,097 donuts on Monday and Wednesday.",free_text,integer_number,3,train,1,46
24851,What is the total cost for 4+4/5 pounds of soy flour?,,14.40,$,,"bleached white flour | $3/lb
peanut flour | $6/lb
unbleached white flour | $3/lb
whole wheat flour | $6/lb
soy flour | $3/lb
hemp flour | $5/lb","{'Column 1': ['bleached white flour', 'peanut flour', 'unbleached white flour', 'whole wheat flour', 'soy flour', 'hemp flour'], 'Column 2': ['$3/lb', '$6/lb', '$3/lb', '$6/lb', '$3/lb', '$5/lb']}",6,2,"Find the cost of the soy flour. Multiply the price per pound by the number of pounds.
$3 × 4\frac{4}{5} = $3 × 4.8 = $14.40
The total cost is $14.40.",free_text,decimal_number,6,train,2,10353
15275,"Look at the table. Then answer the question. At a price of $1,200, is there a shortage or a surplus?","['shortage', 'surplus']",shortage,,,"Price | Quantity demanded | Quantity supplied
$1,000 | 17,800 | 1,200
$1,200 | 14,800 | 5,600
$1,400 | 11,800 | 10,000
$1,600 | 8,800 | 14,400
$1,800 | 5,800 | 18,800","{'Price': ['$1,000', '$1,200', '$1,400', '$1,600', '$1,800'], 'Quantity demanded': ['17,800', '14,800', '11,800', '8,800', '5,800'], 'Quantity supplied': ['1,200', '5,600', '10,000', '14,400', '18,800']}",6,3,"At the price of $1,200, the quantity demanded is greater than the quantity supplied. There is not enough of the good or service for sale at that price. So, there is a shortage.
",multi_choice,boolean_text,5,train,3,11293
30830,Look at the following schedule. When does the train arrive at Rocky Ravine Town?,"['8:30 P.M.', '8:20 P.M.', '6:30 P.M.', '2:35 P.M.']",8:20 P.M.,,Train schedule,"Location | Arrive | Depart
Happy Cow Farm | 1:30 P.M. | 1:50 P.M.
Magician Village | 2:20 P.M. | 2:35 P.M.
Skyscraper City | 3:35 P.M. | 3:45 P.M.
Chickenville | 4:35 P.M. | 4:55 P.M.
City of Green Trees | 5:25 P.M. | 5:45 P.M.
Pleasant River Campground | 6:15 P.M. | 6:30 P.M.
Comfy Pillows Resort | 7:15 P.M. | 7:35 P.M.
Rocky Ravine Town | 8:20 P.M. | 8:30 P.M.","{'Location': ['Happy Cow Farm', 'Magician Village', 'Skyscraper City', 'Chickenville', 'City of Green Trees', 'Pleasant River Campground', 'Comfy Pillows Resort', 'Rocky Ravine Town'], 'Arrive': ['1:30 P.M.', '2:20 P.M.', '3:35 P.M.', '4:35 P.M.', '5:25 P.M.', '6:15 P.M.', '7:15 P.M.', '8:20 P.M.'], 'Depart': ['1:50 P.M.', '2:35 P.M.', '3:45 P.M.', '4:55 P.M.', '5:45 P.M.', '6:30 P.M.', '7:35 P.M.', '8:30 P.M.']}",9,3,"Find Rocky Ravine Town on the schedule. Find the arrival time for Rocky Ravine Town.

Rocky Ravine Town: 8:20 P. M.",multi_choice,extractive_text,3,train,4,3293
918,Tanner graphed the daily low temperature for 7 days. What is the median of the numbers?,,7,,Daily low temperature,"Day | Temperature (Â°C)
Thursday | 6
Friday | 9
Saturday | 6
Sunday | 10
Monday | 4
Tuesday | 9
Wednesday | 7","{'Day': ['Thursday', 'Friday', 'Saturday', 'Sunday', 'Monday', 'Tuesday', 'Wednesday'], 'Temperature (Â°C)': ['6', '9', '6', '10', '4', '9', '7']}",8,2,"Read the numbers from the table.

6, 9, 6, 10, 4, 9, 7

First, arrange the numbers from least to greatest:

4, 6, 6, 7, 9, 9, 10

Now find the number in the middle.

4, 6, 6, 7, 9, 9, 10

The number in the middle is 7.

The median is 7.",free_text,integer_number,6,train,0,93
2990,"Every year Rockport has a citywide relay and reports the winning times. According to the table, what was the rate of change between 2018 and 2019?",,1,minutes per year,Winning relay times,"Year | Winning time (minutes)
2015 | 45
2016 | 30
2017 | 29
2018 | 38
2019 | 39","{'Year': ['2015', '2016', '2017', '2018', '2019'], 'Winning time (minutes)': ['45', '30', '29', '38', '39']}",6,2,"Plug the numbers into the formula for rate of change and simplify.
Rate of change
 = \frac{change in value}{change in time}
 = \frac{39 minutes - 38 minutes}{2019 - 2018}
 = \frac{39 minutes - 38 minutes}{1 year}
 = \frac{1 minute}{1 year}
 = 1 minute per year
The rate of change between 2018 and 2019 was 1 minute per year.",free_text,integer_number,8,train,1,8895
19662,Aubrey has $395.00. Does she have enough to buy a coffee table and a kitchen table?,"['yes', 'no']",yes,,,"couch | $239.00
leather chair | $397.00
coffee table | $138.00
desk | $252.00
set of bunk beds | $418.00
kitchen table | $241.00","{'Column 1': ['couch', 'leather chair', 'coffee table', 'desk', 'set of bunk beds', 'kitchen table'], 'Column 2': ['$239.00', '$397.00', '$138.00', '$252.00', '$418.00', '$241.00']}",6,2,"Add the price of a coffee table and the price of a kitchen table:

$138.00 + $241.00 = $379.00

$379.00 is less than $395.00. Aubrey does have enough money.",multi_choice,boolean_text,8,train,2,15476
23386,The table shows a function. Is the function linear or nonlinear?,"['linear', 'nonlinear']",nonlinear,,,"x | y
6 | 16
7 | 9
8 | 1","{'x': ['6', '7', '8'], 'y': ['16', '9', '1']}",4,2,"To determine whether the function is linear or nonlinear, see whether it has a constant rate of change.
Pick the points in any two rows of the table and calculate the rate of change between them. The first two rows are a good place to start.
Call the values in the first row x1 and y1. Call the values in the second row x2 and y2.
Rate of change = \frac{y2 - y1}{x2 - x1}
 = \frac{9 - 16}{7 - 6}
 = \frac{-7}{1}
 = -7
Now pick any other two rows and calculate the rate of change between them.
Call the values in the second row x1 and y1. Call the values in the third row x2 and y2.
Rate of change = \frac{y2 - y1}{x2 - x1}
 = \frac{1 - 9}{8 - 7}
 = \frac{-8}{1}
 = -8
The rate of change is not the same for each pair of points. So, the function does not have a constant rate of change.
The function is nonlinear.",multi_choice,boolean_text,8,train,3,14350
